Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeName,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked
51,No,Travel_Rarely,Sales,6,2,Life Sciences,Anne Allen,1,Female,1,Healthcare Representative,Married,131160,1.0
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,Benjamin Jacobs,2,Female,1,Research Scientist,Single,41890,0.0
32,No,Travel_Frequently,Research & Development,17,4,Other,William Lewis,3,Male,4,Sales Executive,Married,193280,1.0
38,No,Non-Travel,Research & Development,2,5,Life Sciences,Gordon Castillo,4,Male,3,Human Resources,Married,83210,3.0
32,No,Travel_Rarely,Research & Development,10,1,Medical,Gabriel Frank,5,Male,1,Sales Executive,Single,23420,4.0
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Jessica Palmer,6,Female,4,Research Director,Married,40710,3.0
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,Brittany Chen,7,Male,2,Sales Executive,Single,58130,2.0
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,Jessica Woods,8,Male,2,Sales Executive,Married,31430,2.0
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Brian Espinoza,9,Male,3,Laboratory Technician,Married,20440,0.0
25,No,Non-Travel,Research & Development,7,4,Medical,Joseph Sims,10,Female,4,Laboratory Technician,Divorced,134640,1.0
45,No,Travel_Rarely,Research & Development,17,2,Medical,Deanna Becker DVM,11,Male,2,Laboratory Technician,Married,79910,0.0
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,Amanda Diaz,12,Male,1,Laboratory Technician,Married,33770,0.0
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,Janice Johnson,13,Female,1,Sales Executive,Single,55380,0.0
47,Yes,Non-Travel,Research & Development,1,1,Medical,Gary Willis,14,Male,1,Research Scientist,Married,57620,1.0
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Mark Adams,15,Male,1,Manufacturing Director,Married,25920,1.0
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Janet Hayes,16,Male,2,Healthcare Representative,Married,53460,4.0
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,Seth Sandoval,17,Male,1,Laboratory Technician,Single,42130,1.0
37,No,Non-Travel,Research & Development,1,3,Medical,Stephanie Vincent,18,Male,2,Sales Executive,Divorced,41270,2.0
35,No,Travel_Rarely,Sales,7,4,Life Sciences,Steven Hall,19,Male,1,Sales Representative,Divorced,24380,7.0
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Tina Pacheco,20,Female,1,Manager,Divorced,68700,1.0
26,No,Travel_Frequently,Research & Development,1,4,Other,Christine Cabrera,21,Male,2,Laboratory Technician,Divorced,104470,1.0
50,No,Travel_Rarely,Sales,8,4,Life Sciences,Christopher Hall,22,Male,1,Research Scientist,Divorced,96670,3.0
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,Melissa Hughes,23,Female,2,Research Scientist,Married,21480,3.0
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,Laura Huffman,24,Male,1,Manufacturing Director,Married,89260,1.0
29,No,Travel_Frequently,Research & Development,16,4,Medical,Mark Rodriguez,25,Male,1,Laboratory Technician,Single,65130,1.0
55,No,Travel_Rarely,Research & Development,1,4,Other,Joseph Watson,26,Female,1,Research Scientist,Married,67990,3.0
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Zachary Jones,27,Female,1,Manager,Married,162910,1.0
37,No,Travel_Rarely,Sales,5,1,Marketing,Kimberly Richardson,28,Male,1,Research Scientist,Single,27050,1.0
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,Amanda Mays,29,Male,2,Research Scientist,Divorced,103330,3.0
38,No,Travel_Rarely,Sales,2,3,Marketing,Jessica Moran,30,Female,1,Manager,Divorced,44480,9.0
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,Andrew Stewart,31,Male,3,Research Scientist,Divorced,68540,2.0
28,No,Travel_Rarely,Research & Development,7,3,Other,Steven Johnson,32,Male,1,Human Resources,Single,96370,1.0
49,No,Travel_Frequently,Research & Development,1,1,Medical,Kiara Marsh,33,Female,2,Research Scientist,Single,35910,9.0
36,No,Travel_Rarely,Sales,5,3,Technical Degree,Scott Raymond,34,Male,3,Sales Executive,Single,54050,4.0
31,No,Travel_Frequently,Research & Development,9,4,Medical,David Holmes,35,Male,1,Sales Executive,Divorced,46840,1.0
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,Dana Henderson,36,Male,2,Manager,Single,157870,1.0
37,No,Travel_Frequently,Sales,9,1,Marketing,Alejandra Thomas,37,Male,1,Laboratory Technician,Married,15140,1.0
42,No,Travel_Frequently,Sales,2,2,Marketing,Laurie Huffman,38,Male,3,Research Director,Married,29560,5.0
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,Lisa Clark,39,Male,1,Sales Executive,Single,23350,1.0
35,No,Travel_Rarely,Sales,20,2,Life Sciences,Richard Hernandez,40,Male,1,Laboratory Technician,Married,51540,0.0
36,No,Travel_Frequently,Research & Development,8,3,Other,Daniel Wade,41,Female,3,Sales Executive,Married,69620,4.0
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Heidi Harris,42,Male,2,Laboratory Technician,Divorced,56750,5.0
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,Stacey Roberts,43,Male,1,Laboratory Technician,Single,23790,1.0
18,No,Travel_Rarely,Sales,7,3,Life Sciences,Mitchell Lopez,44,Male,1,Research Scientist,Single,38120,1.0
28,No,Travel_Rarely,Research & Development,9,3,Medical,Kelly Watson,45,Male,1,Sales Representative,Single,46480,0.0
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,David Browning,46,Male,1,Manufacturing Director,Married,29360,4.0
39,No,Travel_Rarely,Sales,5,4,Marketing,Barbara Lowery,47,Female,2,Human Resources,Divorced,21050,0.0
36,No,Non-Travel,Research & Development,5,4,Life Sciences,Vanessa Wilson,48,Male,1,Sales Executive,Married,85780,7.0
32,No,Travel_Rarely,Sales,2,3,Marketing,Heather Dunn,49,Male,2,Laboratory Technician,Married,27060,1.0
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,Connie Wilson,50,Female,3,Research Scientist,Married,63840,3.0
58,No,Non-Travel,Research & Development,2,3,Life Sciences,Sheila Ward,51,Male,2,Manufacturing Director,Divorced,39680,2.0
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,Steven Hester,52,Female,3,Research Scientist,Married,99070,0.0
31,No,Travel_Rarely,Sales,7,4,Marketing,Bryan Edwards,53,Male,2,Sales Executive,Married,132250,3.0
45,No,Travel_Frequently,Research & Development,3,1,Medical,Larry Richardson,54,Female,1,Sales Executive,Divorced,35400,1.0
31,No,Travel_Rarely,Sales,16,4,Marketing,Thomas Benson,55,Female,2,Research Scientist,Divorced,28040,0.0
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Angela Lee,56,Male,4,Research Director,Married,193920,6.0
39,No,Travel_Rarely,Sales,1,4,Life Sciences,Denise Hayden,57,Male,1,Sales Executive,Married,196650,1.0
43,No,Travel_Frequently,Research & Development,7,4,Medical,Mandy Hooper,58,Male,4,Research Scientist,Single,24390,0.0
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Allen Simon,59,Male,3,Manufacturing Director,Single,73140,7.0
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,Robert Garcia,60,Female,2,Research Scientist,Married,47740,2.0
27,No,Travel_Rarely,Research & Development,15,4,Medical,Rachael Navarro,61,Male,3,Research Scientist,Single,39020,1.0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Steven Thomas,62,Male,3,Research Scientist,Married,26620,1.0
27,No,Travel_Rarely,Research & Development,13,2,Medical,Lauren James,63,Female,4,Research Director,Single,28560,1.0
31,No,Travel_Rarely,Sales,24,3,Life Sciences,Julie Johnson,64,Male,2,Healthcare Representative,Divorced,10810,4.0
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Michele Chapman,65,Male,2,Healthcare Representative,Single,24720,7.0
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,Michelle Joseph,66,Male,1,Sales Executive,Married,56730,5.0
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,Randall Andrews,67,Female,4,Research Director,Married,41970,1.0
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,Rachel Lynch,68,Female,1,Manager,Married,97130,1.0
39,No,Travel_Frequently,Research & Development,19,4,Medical,Mary Hill,69,Female,1,Research Scientist,Married,20620,1.0
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,John Rangel,70,Female,1,Laboratory Technician,Married,42840,4.0
33,No,Travel_Frequently,Sales,4,2,Life Sciences,Emily Lawson,71,Male,4,Research Scientist,Single,47880,3.0
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,Stephen Sanchez,72,Female,2,Healthcare Representative,Married,59060,4.0
